,RF,KNN,Logistic Regression,Decision Tree,SVM,Histogram Gradient Boosting,Gradient Boosting,Ada Boost,Neural Network
0,0.782985305491106,0.7124516627996906,0.7710750193348801,0.7726218097447796,0.7518948182521268,0.7809744779582367,0.7778808971384378,0.7528228924980666,0.7676720804331013
1,0.7854601701469451,0.7013147718484145,0.7764887857695282,0.7720030935808198,0.748491879350348,0.788553750966744,0.7834493426140758,0.7557617942768755,0.7729311678267595
2,0.7794276875483372,0.7087393658159319,0.7690641918020108,0.7624129930394432,0.7534416086620263,0.7778808971384378,0.7749419953596288,0.7522041763341067,0.7636504253673627
3,0.7754060324825987,0.7059551430781129,0.768754833720031,0.7651972157772622,0.7574632637277648,0.777262180974478,0.7761794276875483,0.7472544470224285,0.7582366589327146
4,0.7778808971384378,0.7051817478731632,0.765815931941222,0.7647331786542924,0.7492652745552978,0.7764887857695282,0.7709203402938902,0.7512761020881671,0.7591647331786543
5,0.7696829079659706,0.7067285382830626,0.7630317092034029,0.7568445475638051,0.7494199535962877,0.7713843774168601,0.765661252900232,0.736890951276102,0.7625676720804331
6,0.756999226604795,0.694199535962877,0.7512761020881671,0.7413766434648105,0.7344160866202629,0.7563805104408353,0.7560711523588554,0.7254447022428461,0.7307037896365043
7,0.7713490099009901,0.7042079207920792,0.7643873762376238,0.7602103960396039,0.7518564356435643,0.7758353960396039,0.7724319306930693,0.7351485148514851,0.7345297029702971
8,0.7690284653465347,0.6966274752475248,0.7626856435643564,0.7574257425742574,0.750309405940594,0.7699566831683168,0.7671720297029703,0.7439665841584159,0.7487623762376238
9,0.7764542079207921,0.6960086633663366,0.7643873762376238,0.7651608910891089,0.7504641089108911,0.7773824257425742,0.7741336633663366,0.7400990099009901,0.4193997524752475
