,RF,KNN,Logistic Regression,Decision Tree,SVM,Histogram Gradient Boosting,Gradient Boosting,Ada Boost,Neural Network
0,0.9575543203638202,0.9267306720565942,0.9537645275391612,0.953511874684184,0.944921677614957,0.9570490146538656,0.9537645275391612,0.9504800404244568,0.9345629105608894
1,0.959059893858984,0.9264594389689158,0.954510993176649,0.9570381602223907,0.9411170078342178,0.9598180439727066,0.9570381602223907,0.954510993176649,0.9322719231741218
2,0.9565327268132423,0.9234268385140257,0.9552691432903715,0.9537528430629265,0.9408642911296436,0.9593126105635582,0.9542582764720748,0.9494566590851655,0.9461713419257013
3,0.9517311094263331,0.9279757391963609,0.9474349254485721,0.9454131918119788,0.9416224412433661,0.9535001263583522,0.950214809198888,0.9408642911296436,0.9289866060146575
4,0.9540055597675007,0.9272175890826384,0.9499620924943138,0.9474349254485721,0.9393479909021987,0.9524892595400556,0.9532474096537781,0.9466767753348496,0.9474349254485721
5,0.9542582764720748,0.9264594389689158,0.9509729593126106,0.9476876421531463,0.9433914581753854,0.9547637098812232,0.9535001263583522,0.945665908516553,0.9262067222643416
6,0.9433914581753854,0.9158453373768006,0.9421278746525146,0.9350518069244377,0.9322719231741218,0.941369724538792,0.9416224412433661,0.9370735405610311,0.9337882234015669
7,0.9514783927217589,0.9289866060146575,0.9476876421531463,0.948698508971443,0.939853424311347,0.9542582764720748,0.9504675259034622,0.9416224412433661,0.9489512256760172
8,0.9555218599949457,0.9332827899924185,0.9535001263583522,0.9514783927217589,0.950214809198888,0.956027293404094,0.950214809198888,0.9469294920394238,0.9438968915845337
9,0.9527419762446298,0.9254485721506192,0.9474349254485721,0.9459186252211271,0.9421278746525146,0.954510993176649,0.9507202426080363,0.9524892595400556,0.9433914581753854
